id,name,spirit_category,primary_spirit,method,glass,ice,garnish,flavor_profiles,vibes,difficulty,lore,pro_tip,is_classic,source,steps_json,ingredients_json,photo_url,photo_thumb,photo_source,photo_id,has_custom_photo,photo_credit,photo_credit_url
ll-00001,Old Fashioned,whiskey_bourbon,Buffalo Trace,stir,rocks,large cube,"expressed orange peel, cocktail cherry","[""boozy"", ""warming"", ""sweet"", ""bitter""]","[""Date Night"", ""Cozy Night In"", ""After Dinner""]",easy,"The Old Fashioned is arguably the original cocktail — the word 'cocktail' was first defined in 1806 as a spirit, sugar, water, and bitters. When bartenders in the late 1800s began adding elaborate liqueurs, a segment of drinkers asked for their drinks made 'the old-fashioned way.' The name stuck.",Use a barspoon and stir for a full 30 seconds. Under-stirring is the most common mistake with this drink — proper dilution and temperature are everything.,True,liquid_lore_premium,"[""Combine all ingredients in a mixing glass."", ""Fill with large ice cubes and stir steadily for 30 seconds."", ""Strain into your chilled glass."", ""Garnish with expressed orange peel, cocktail cherry.""]","[{""name"": ""bourbon"", ""amount"": ""2 oz"", ""notes"": ""Buffalo Trace or Woodford Reserve recommended""}, {""name"": ""simple syrup"", ""amount"": ""\u00bc oz""}, {""name"": ""Angostura bitters"", ""amount"": ""2 dashes""}, {""name"": ""orange bitters"", ""amount"": ""1 dash""}]",https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg,https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00002,Negroni,gin,Tanqueray,stir,rocks,large cube,orange twist,"[""bitter"", ""sweet"", ""herby"", ""boozy""]","[""Date Night"", ""After Dinner"", ""Happy Hour""]",easy,"Count Camillo Negroni walked into Café Casoni in Florence, Italy, in 1919 and asked bartender Fosco Scarselli to strengthen his Americano by replacing the soda water with gin. The bartender obliged and garnished it with an orange peel instead of lemon to distinguish it from the original. A cocktail dynasty was born.","The equal-parts ratio is intentional. Resist the urge to add more gin — the tension between spirit, bitter, and sweet is the whole point.",True,liquid_lore_premium,"[""Combine all ingredients in a mixing glass."", ""Fill with large ice cubes and stir steadily for 30 seconds."", ""Strain into your chilled glass."", ""Garnish with orange twist.""]","[{""name"": ""gin"", ""amount"": ""1 oz""}, {""name"": ""Campari"", ""amount"": ""1 oz""}, {""name"": ""sweet vermouth"", ""amount"": ""1 oz""}]",https://www.thecocktaildb.com/images/media/drink/qgdu971561574065.jpg,https://www.thecocktaildb.com/images/media/drink/qgdu971561574065/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00003,Margarita,tequila,Patron Silver,shake,margarita glass,on the rocks,"half salt rim, lime wheel","[""sour"", ""citrusy"", ""sweet"", ""refreshing""]","[""Party Starter"", ""Summer Patio"", ""Happy Hour"", ""Brunch""]",easy,"The Margarita's true origin is contested — at least a dozen people claim to have invented it between the 1930s and 1950s. The most cited story involves socialite Margarita Sames, who mixed the drink for guests at her Acapulco villa in 1948. Whether true or not, by the 1970s it had become the best-selling cocktail in the United States.",Tommy's variation (swap Cointreau for ½ oz agave syrup) is often considered the superior recipe — it lets the tequila shine and is less sweet.,True,liquid_lore_premium,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with half salt rim, lime wheel.""]","[{""name"": ""blanco tequila"", ""amount"": ""2 oz""}, {""name"": ""fresh lime juice"", ""amount"": ""\u00be oz""}, {""name"": ""Cointreau"", ""amount"": ""\u00be oz""}]",https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg,https://www.thecocktaildb.com/images/media/drink/5noda61589575158/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00004,Daiquiri,rum,Bacardi White,shake,coupe,none (served up),lime wheel on rim,"[""sour"", ""citrusy"", ""refreshing"", ""sweet""]","[""Summer Patio"", ""Date Night"", ""Happy Hour""]",easy,"Named after a beach near Santiago, Cuba, the Daiquiri was supposedly created by American mining engineer Jennings Cox in 1898 when he ran out of gin and improvised with local rum. Ernest Hemingway later immortalized it by drinking them by the dozen at Havana's El Floridita — frozen and with extra lime.",The classic ratio is 2:¾:¾ but the best Daiquiri is one calibrated to your specific rum and limes. Taste and adjust before you shake.,True,liquid_lore_premium,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with lime wheel on rim.""]","[{""name"": ""white rum"", ""amount"": ""2 oz""}, {""name"": ""fresh lime juice"", ""amount"": ""\u00be oz""}, {""name"": ""simple syrup"", ""amount"": ""\u00be oz""}]",https://www.thecocktaildb.com/images/media/drink/mrz9091589574515.jpg,https://www.thecocktaildb.com/images/media/drink/mrz9091589574515/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00005,Mojito,rum,Bacardi White,build,highball,crushed,"slapped mint sprig, lime wheel","[""herby"", ""citrusy"", ""refreshing"", ""sweet""]","[""Summer Patio"", ""Beach Day"", ""Party Starter"", ""Brunch""]",easy,"The Mojito's roots trace back to 16th-century Cuba, where a similar drink called 'El Draque' was made with aguardiente (a precursor to rum), lime, sugar, and mint. When the sugar cane industry introduced proper rum, the recipe evolved into what we know today. It became internationally famous as Hemingway's drink of choice at La Bodeguita del Medio in Havana.",Gently press (don't shred) the mint with the syrup and lime juice. Over-muddling tears the leaves and releases bitter chlorophyll instead of fragrant oils.,True,liquid_lore_premium,"[""Fill your glass with ice."", ""Add ingredients in order, finishing with any carbonated components."", ""Give a single gentle stir to incorporate."", ""Garnish with slapped mint sprig, lime wheel.""]","[{""name"": ""white rum"", ""amount"": ""2 oz""}, {""name"": ""fresh lime juice"", ""amount"": ""1 oz""}, {""name"": ""simple syrup"", ""amount"": ""\u00be oz""}, {""name"": ""fresh mint leaves"", ""amount"": ""10-12 leaves""}, {""name"": ""club soda"", ""amount"": ""2 oz""}]",https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg,https://www.thecocktaildb.com/images/media/drink/metwgh1606770327/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00006,Manhattan,whiskey_rye,Rittenhouse,stir,coupe,none (served up),"Luxardo cherry, expressed orange peel","[""boozy"", ""warming"", ""sweet"", ""bitter""]","[""Date Night"", ""After Dinner"", ""Cozy Night In""]",easy,Legend holds that the Manhattan was invented at New York's Manhattan Club in 1874 at a banquet hosted by Lady Randolph Churchill (Winston's mother) for presidential candidate Samuel Tilden. Historians now doubt this story — Lady Churchill was pregnant and in England at the time — but the drink itself is undeniably New York in its DNA.,"Use Carpano Antica Formula for a richer, more complex Manhattan. And never, ever shake it — a Manhattan should be silky, not frothy.",True,liquid_lore_premium,"[""Combine all ingredients in a mixing glass."", ""Fill with large ice cubes and stir steadily for 30 seconds."", ""Strain into your chilled glass."", ""Garnish with Luxardo cherry, expressed orange peel.""]","[{""name"": ""rye whiskey"", ""amount"": ""2 oz""}, {""name"": ""sweet vermouth"", ""amount"": ""1 oz""}, {""name"": ""Angostura bitters"", ""amount"": ""2 dashes""}]",https://www.thecocktaildb.com/images/media/drink/e8mjxc1504820364.jpg,https://www.thecocktaildb.com/images/media/drink/e8mjxc1504820364/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00007,Whiskey Sour,whiskey_bourbon,Buffalo Trace,shake,rocks,on the rocks,"lemon wheel, Angostura bitters pattern on foam","[""sour"", ""citrusy"", ""sweet"", ""warming""]","[""Happy Hour"", ""Date Night"", ""Party Starter""]",easy,"The sour formula — spirit, citrus, sweetener — is one of the oldest templates in cocktail history, documented as far back as 1862 in Jerry Thomas's Bartender's Guide. The Whiskey Sour became a staple of American bars during Prohibition, when it helped mask the harsh flavor of poorly made bootleg whiskey.","Always dry shake first (no ice) for a full 15 seconds if using egg white, then shake again with ice. This creates the thick, stable foam that defines a proper Whiskey Sour.",True,liquid_lore_premium,"[""Combine all ingredients in a cocktail shaker."", ""Dry shake (without ice) for 15 seconds first to emulsify the egg white."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with lemon wheel, Angostura bitters pattern on foam.""]","[{""name"": ""bourbon"", ""amount"": ""2 oz""}, {""name"": ""fresh lemon juice"", ""amount"": ""\u00be oz""}, {""name"": ""simple syrup"", ""amount"": ""\u00be oz""}, {""name"": ""egg white"", ""amount"": ""1 (optional)""}]",https://www.thecocktaildb.com/images/media/drink/hbkfsh1589574990.jpg,https://www.thecocktaildb.com/images/media/drink/hbkfsh1589574990/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00008,Aperol Spritz,amaro,Aperol,build,wine glass,large cubes,"orange half-wheel, olive (optional)","[""bitter"", ""sweet"", ""refreshing"", ""fruity""]","[""Brunch"", ""Summer Patio"", ""Happy Hour"", ""Party Starter""]",easy,"The Aperol Spritz has roots in 19th-century Venetia, when Austrian soldiers stationed in Northern Italy found local wines too strong and began adding water — hence 'spritz' from the German 'spritzen.' Aperol itself wasn't created until 1919, and the modern spritz only went national when Campari Group launched a massive marketing campaign in the 2000s.","Use very cold Prosecco and very cold Aperol. Pour Prosecco first, then Aperol, then soda — this minimizes the need to stir and preserves bubbles.",True,liquid_lore_premium,"[""Fill your glass with ice."", ""Add ingredients in order, finishing with any carbonated components."", ""Give a single gentle stir to incorporate."", ""Garnish with orange half-wheel, olive (optional).""]","[{""name"": ""Aperol"", ""amount"": ""3 oz""}, {""name"": ""Prosecco"", ""amount"": ""3 oz""}, {""name"": ""splash of club soda"", ""amount"": ""1 oz""}]",https://www.thecocktaildb.com/images/media/drink/iaspp31606771708.jpg,https://www.thecocktaildb.com/images/media/drink/iaspp31606771708/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00009,Paloma,tequila,Patron Silver,build,highball,on the rocks,"grapefruit wedge, salted rim","[""citrusy"", ""refreshing"", ""sweet"", ""sour""]","[""Summer Patio"", ""Beach Day"", ""Brunch"", ""Happy Hour""]",easy,"The Paloma is Mexico's most popular tequila cocktail — more popular than the Margarita within Mexico itself. 'Paloma' means dove in Spanish, though the exact origin of the name is unclear. It's thought to have been created in the 1950s or 60s, possibly by Don Javier Delgado Corona at his bar La Capilla in Tequila, Mexico — who also invented the Batanga.","Fresh grapefruit juice (2 oz) plus a splash of soda is better than grapefruit soda alone — more depth, less sweetness, and you control the balance.",True,liquid_lore_premium,"[""Fill your glass with ice."", ""Add ingredients in order, finishing with any carbonated components."", ""Give a single gentle stir to incorporate."", ""Garnish with grapefruit wedge, salted rim.""]","[{""name"": ""blanco tequila"", ""amount"": ""2 oz""}, {""name"": ""fresh lime juice"", ""amount"": ""\u00bd oz""}, {""name"": ""pinch of salt"", ""amount"": ""1 pinch""}, {""name"": ""grapefruit soda (Jarritos or Fever-Tree)"", ""amount"": ""4 oz""}]",https://www.thecocktaildb.com/images/media/drink/tsovh21604330322.jpg,https://www.thecocktaildb.com/images/media/drink/tsovh21604330322/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00010,Moscow Mule,vodka,Absolut,build,copper mug,crushed,"lime wheel, candied ginger","[""spicy"", ""citrusy"", ""refreshing"", ""sweet""]","[""Party Starter"", ""Summer Patio"", ""Happy Hour"", ""Game Night""]",easy,"The Moscow Mule was born out of a marketing stunt in 1941. John Martin had just bought the rights to Smirnoff vodka (nearly unknown in the US at the time) and met Jack Morgan, who owned Cock 'n' Bull ginger beer and had a warehouse of copper mugs he couldn't sell. They combined forces and created the Moscow Mule as a promotional vehicle for all three products. It worked.","The copper mug isn't just theatrical — it keeps the ice colder longer and subtly changes the metal-ion flavor profile. Use a quality spicy ginger beer, not ginger ale.",True,liquid_lore_premium,"[""Fill your glass with ice."", ""Add ingredients in order, finishing with any carbonated components."", ""Give a single gentle stir to incorporate."", ""Garnish with lime wheel, candied ginger.""]","[{""name"": ""vodka"", ""amount"": ""2 oz""}, {""name"": ""fresh lime juice"", ""amount"": ""\u00bd oz""}, {""name"": ""ginger beer"", ""amount"": ""4 oz""}]",https://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg,https://www.thecocktaildb.com/images/media/drink/3pylqc1504370988/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
